text,type
ทบ. ได้รถถังทร. ได้เรือดำน้ำทอ. ได้เครื่องบินรบแหม..นายกเป็นทหารอะเนอะ,เกี่ยวข้อง
 เอางบเรือดำน้ำ งบทหารที่ไม่มีประสิทธิภาพมาใช้ที่สำคัญคือแผนหาเงินเข้าประเทศนะ ซึ่งเป็นสิ่งที่รัฐบาลประยุทธไม่ตอบโจทย์ ไม่มีปัญญาทำได้ มีแต่กู้กับกู้เราเสียโรงงานขนาดใหญ่ให้เวียตนามไปกี่โรงงานแล้ว?,เกี่ยวข้อง
เลิก romanticize ความจนค่ะ อห.เราต้องการรัฐสวัสดิการที่มีคุณภาพสำหรับทุกคน ไม่ใช่รัฐเรือดำน้ำ สวัสดิการแบบอภิสิทธิชน,เกี่ยวข้อง
น้องไม่ใช่นักกีฬาว่ายน้ำค่ะ น้องคือเรือดำน้ำ 555#NenexMellow975Fandom #เนเน่Nene Best of 2021 ,ไม่เกี่ยวข้อง
"""ถ้าธรรมชาติถูกทำลายการเติบโตทางเศรษฐกิจ ความกินดีอยู่ดีของผู้คนที่ต้องพึ่งพา บริการทางนิเวศ พังพินาศมีเรือดำน้ำ กี่ลำ F35 กี่ฝูงบินก็ไม่ช่วยให้มั่นคงอะไรได้เลย""",เกี่ยวข้อง
"""รัฐบาล อ้างต้องประหยัด เจอโควิดเศรษฐกิจไม่ดีแต่ไม่ให้ความสำคัญกับการรักษาป่า รักษาทรัพยากรธรรมชาติในขณะที่ มีเงินไป ซื้อเรือดำน้ำ เครื่องบินรบ F35""",เกี่ยวข้อง
 นาฬิกา..??รุกป่า..??สร้างโงพัก..??สร้างสนามฟุตซอล..??เครื่องบิน..??เรือดำน้ำ..??,ไม่เกี่ยวข้อง
  -การล้มลางทรราช ล้มลางเผด็จการมันไม่ใช่ความผิดตั้งแต่แรกอยู่แล้วการเงินประเทศที่เละเทะเป็นหนี้สาธารณะรัวๆ-งบประมาณค่าใช้จ่ายของคนๆ เดียว ปาไป 3 หมื่นล้านต่อปี-ส่วนผู้มีความรับผิดชอบบริหารจริงก็จะเอาอาวุธ รถถัง เรือดำน้ำ-งบประมาณพัฒนาการศึกษา สาธารณสุข ก็วิ่งขอทานเอา,เกี่ยวข้อง
 เรือเราเป็นเรือดำน้ำ ไม่มีวันจมหรอกค่ะ ไม่เศร้าน้า,ไม่เกี่ยวข้อง
 รู้จักหนี้ครัวเรือนด้วยหรา เห็นพูดแต่ จีดีพี ถ้าไอ่ตู่รู้จักหนี้ครัวเรือนจะกู้มาทำพระแสงไรเยอะแยะ ไหนจะเรือดำน้ำ เครื่องบิน,เกี่ยวข้อง
เด็กที่คบกับผมด้วยรอยยิ้มกับเรื่องที่เป็นไปไม่ได้อย่างเดทเรือดำน้ำ หรือมุขไร้สาระของผม คือคนในอุดมคติล่ะ,ไม่เกี่ยวข้อง
อันนี้อยากฝากการบ้านกองโตเลยค่ะให้พรรคนี้ มันเป็นสิ่งที่ต้องตีคู่กันไปทั้งเศรษฐกิจและความมั่นคง หันไปดูเพื่อนบ้านที่อาวุธกำลังอยู่ในช่วงเปลี่ยนผ่าน ทั้งเรือดำน้ำ ฝูงเรือบินใหม่ เฮลิคอปเตอร์ใหม่ ,เกี่ยวข้อง
ท่องไว้ค่ะมันแค่แห้งไม่มีทางจมเพราะเรือเรามันเรือดำน้ำ#vsoo ,ไม่เกี่ยวข้อง
ใครที่น้อยใจคู่ชิปไม่ค่อยมีโมเม้นนะคะ ให้ดูที่ MVP ค่ะ ทุกวันนี้เรือเราเป็นเรือดำน้ำ โผล่มานิดนึง ก็ดำน้ำอีกแล้ว,ไม่เกี่ยวข้อง
เงินเฟ้อ คนตกงาน ของขึ้นราคาจากทั้งเรื่องปัญหาตัวสินค้าเอง+อื่นๆ โควิดยังไม่จากไป ค่าแรงขั้นต่ำเท่าเดิม อ่า เราไม่เปนไร เรายอมอดตาย ให้ได้คนดี (ที่มาซื้อเรือดำน้ำ เครื่องบิน รถถัง ผูกขาดวัคซีน) เย้ๆ,เกี่ยวข้อง
 พาขี่เรือดำน้ำ,ไม่เกี่ยวข้อง
ถังรั่วเพราะพวกมึงใช้จ่ายเกินตัวโว้ย เรื่องที่ควรใช้ไม่ใช้ เสือกไปซื้อรถถัง เรือดำน้ำ รถจีโน่ ไอ่ควัยยย ,เกี่ยวข้อง
ช่วงนี้เรือแรง จะขายอะไรก็เข้ามาขายเลยค่าขายกาแฟ ขายฟิคแฮซู ขายจรวด ขายเรือดำน้ำ ขายบลาๆ#HAESOO,ไม่เกี่ยวข้อง
แล้วเอางบมหาศาลไปซื้อเรือดำน้ำ ปีน อาวุธรบทำไมอะ ท่องคาถาเอาละกัน สาทุ ,เกี่ยวข้อง
 ไม่เข้าใจ...ซื้อทุกปี ซื้อกะไรนักหนา ...เรือดำน้ำ...เฮลิคอปเตอร์...เครื่องยินรบ...รถถัง...รุ่นนั่นโน่นนี่...รออีกปีสองแให้ปท.ฟื้นตัวไม่ได้หรือ...งบพวกนี้จำเป็นต้องใช้ไหม?...เอามาสู้รบโรคภัยไข้เจ็บก็ไม่ได้...คนลำบากยังมีอีกเยอะ ปีหรือสองปีนี้ ทำเรื่องนี้ก่อนดีไหม?,เกี่ยวข้อง
 มีปืน มีรถถัง มีเรือดำน้ำ f35ใครจะกล้าเถียง,เกี่ยวข้อง
 ข่าวเด็กถูกพ่อแม้ทำร้ายมากขึ้นทุกวัน เห็นไหมว่าเราควรใช้งบพัฒนาการศึกษามากกว่าซื้อเรือดำน้ำ,เกี่ยวข้อง
อีกหน่อย จะมีแต่สงครามในรูปแบบนี้ แต่รัฐทหารไทย กลับติดกับดักสงครามรูปแบบเดิม ขยันซื้อแต่อาวุธเครื่องบินรบเรือดำน้ำ และมองว่าเชื้อโรคกระจอก ... ผู้นำห่วยแตกไร้วิสัยทัศน์นี่แหละที่มักพาประเทศล่มจมจากการบริหารเงินผิดพลาด!! ,เกี่ยวข้อง
 จริงใครเขาจะไปลงทุนกับประชาชนกัน เขาต้องไปลงทุนกับเรือดำน้ำ โทนี่ก็สู้ไม่ได้เด้อ โควิทระบาดยังร่างงบจะซื้อรถถัง คนโง่ๆที่ไหนจะคิดได้ บ้าบอ สงสัยจะเอารถถังใส่กระสุนแอกอฮอยิงโควิท,เกี่ยวข้อง
ชีวิตนี้มีแต่โควทกับบ่นจริงๆ คนที่ฟอลมาใหม่ไม่ต้องตกใจนะคะ เจ้าของทวิตนี้บ่นตั้งแต่สากกระเบือยังเรือดำน้ำ,ไม่เกี่ยวข้อง
 ไม่เป็นไรค่ะ เรามีเรือดำน้ำ,ไม่เกี่ยวข้อง
เธอเมารถใช่มั้ย เดี๋ยวเราจะพาเธอนั่งเรือดำน้ำ,ไม่เกี่ยวข้อง
 แม่น่าจะไม่อยากได้เรือดำน้ำ 555,ไม่เกี่ยวข้อง
ณ ขณะฉันหาอะไรกิน ฉันเจอร้านนี้ไอเฮียตู่...เมนูมี set รถถัง เรือดำน้ำ และ 112555555เอ็นดูววววววววว ,ไม่เกี่ยวข้อง
 ประเทศเพื่อนบ้านจะเกรงขาม มันอยู่ที่ผู้นำครับ ถ้าผู้นำโง่ ต่อให้มีเครื่องบิน 100 ฝูง เรือดำน้ำ 100 ลำก็ไม่มีใครเกรงกลัวครับ,เกี่ยวข้อง
เรือดำน้ำ ,ไม่เกี่ยวข้อง
 มาแบบเดียวกับ เรือดำน้ำ,ไม่เกี่ยวข้อง
 หนี้ก่อได้นะ ยิ่งสถานการณ์การระบาดทั่วโลกขนาดนี้ เป็นทุกประเทศ แต่สิ่งสำคัญคือ โปร่งใสตรวจสอบได้ และจัดสรรเหมาะสมกับสถานการณ์ เช่น ขอยกตัวอย่างสมมุติ โควิทระบาดหนักมาก ควรทุ่มเงินจัดสรรวัคซีน ให้กระทรวงสาธา แต่บอกว่าไม่ได้ต้องเอาเงินไปซื้อเรือดำน้ำ ต้องเอาเงินตกแต่งเครื่องบิน งี้,เกี่ยวข้อง
เศรษฐกิจไม่ดี ติดหนี้เยอะมาก โควิดระบาด การท่องเที่ยวกำลังหงอย ก็งงว่าร้าบานเค้าเอาเงินจากไหนกับการตัดสินใจประเภทไหนมาขนซื้ออาวุธมากมายขนาดนี้เหมือนกัน งบกลาโหม เครื่องบินรบ เรือ เรือดำน้ำ อะไรพวกนี้มากกว่าบ้านเราที่มีคนมากกว่าเขาเจ็ดเท่าอีก แล้วยังจะซื้อเพิ่มเรื่อยๆอีก,เกี่ยวข้อง
 บกก็กินเครื่องตรวจระเบิด/น้ำก็กินเรือดำน้ำ/ฟ้าก็จะกินเครื่องบินบ้าง พักนี้ยิ่งอดอยาก ปกติแตกการบินไทยตอนนี้มันเจ๊งอยู่ ไม่มีให้กิน กำลังหิวโซอยู่,เกี่ยวข้อง
 งบทหารมากที่สุดในปวศชาติ เรือดำน้ำ เครื่องบินรบจัดเต็มทั้งที่ไม่รู้เอาไปรบกับแมวที่ไหนกะมหาอำนาจมึงก็เลียเค้าหมด กะพม่ามึงก็ยังหงอยังจะกลัวใครอีก,เกี่ยวข้อง
 ถาม ปชช.บ้าง //ว่าอะไรจำเป็นก่อนเดี๋ยวเป็นเรือดำน้ำ ภาค 2 หรอกกลับไปตั้งหลักก่อนดีมั๊ย ??#พรรคเพื่อไทย#ประยุทธ์ออกไป#เพื่อไทยfc,เกี่ยวข้อง
 เรือดำน้ำ ! คุณได้สิทธิ์นั้นเร็วๆนี้,ไม่เกี่ยวข้อง
นวด  vs ออกกำลังกายบูท vs ผ้าใบ จรวด  vs เรือดำน้ำฝักบัว  vs อ่างน้ำข้อความ vs โทรคุย ซีรี่ส์ vs ภาพยนตร์ สะกดจิต  vs รู้ความคิดคนอื่น#2022BamBamFANMEETINGINBKKDAY1,ไม่เกี่ยวข้อง
เกมทายใจกัน(ต์)นวด ออกกำลังกายรองเท้าบูท รองเท้าผ้าใบจรวด เรือดำน้ำส่งข้อความ โทรคุยซีรีส์ ภาพยนต์สะกดจิตคน รับรู้ความคิดของคนอื่น#2022BamBamFANMEETINGINBKK,ไม่เกี่ยวข้อง
3. จรวด/เรือดำน้ำฝันของผมที่ไกลสุดคือไปดาวอังคาร จรวดครับ4. ส่งข้อความ/โทรคุยโทรหา ข้อความผมมีสัก 2-300 ข้อความที่ไม่ได้อ่าน และคิดว่าไม่อ่านด้วยครับ ผมไม่ชอบพิมพ์ ชอบคุยเลย เข้าใจมากกว่า5. ฝักบัว/อ่างอาบน้ำฝักบัว#2022BamBamFANMEETINGINBKKD1 #BamBam ,ไม่เกี่ยวข้อง
ทายใจกันต์รอบเท้าบูท vs ผ้าใบแบม = ผ้าใบจรวด vs เรือดำน้ำแบม = จรวดส่งข้อความ vs โทรคุย โทรหาแบม = โทรหา**ในกาเกามี200ข้อความบวกน้องแบมบอกไม่เปิดอ่านเลย#2022BamBamFANMEETINGINBKKD1,ไม่เกี่ยวข้อง
จรวด กับ เรือดำน้ำน้องบอก จรวด เพราะฝันของผมคือไปอยู่ดาวอังคาร#2022BamBamFANMEETINGINBKKD1#BamBam #GOT7,ไม่เกี่ยวข้อง
เพื่อหากินกับส่วนต่างเฉกเช่นเดียวกันกับการซื้อเรือดำน้ำและรถถังนั่นเอง! ประชาชนได้แต่มองทำตาปริบๆ ,เกี่ยวข้อง
 อยากถามมึงหน่อยถ้ามีรบกัน มึงจะปกป้องประเทศนี้ได้จริงเหรอ ไอ้พวกเหี้ย!! ต่อให้มึงซื้อเครื่องบินรบ ซื้อเรือดำน้ำ เป็นร้อยลำหมิ่นลำ มึงก็สู้เขาไม่ได้หรอก พวกมึงมันก็แค่หากินกับภาษีประขาชนแค่นั้นแหละ,เกี่ยวข้อง
 เอาจริงๆ ตอนนี้ ไม่มีสงครามทางกายภาพมานานแล้ว กองทัพ สมควร ยุบ ทัพบก ทัพเรือ ทัพอากาศ ให้เหลือแค่ ทัพเดียวไปเลยด้วยซ้ำ ประหยัดตามรอยพ่อบ้าง!! ไม่ใช่งอแงกันทุกปี เดี๋ยวๆเรือดำน้ำ เดี๋ยวรถถัง เดี๋ยวเครื่องบิน เบาๆกันบ้าง ยุบๆไปให้หมด,เกี่ยวข้อง
  ผลัดกันอยากได้ของเล่นกันไป ทหารไทยมันมีอยู่แค่นี้เปรต ๑ อยากได้รถถังเปรต ๒ อยากได้เรือดำน้ำเปรต ๓ อยากได้เครื่องบินวงจรทหารของประเทศมีอยู่แค่นี้เองถ้าพวกมันขยัน ทำหน้าที่ของตัวเอง ให้ดีที่สุดป่านนี้ ไทยคงเป็นประเทศที่น่ากลัวที่สุดทางทหาร ในเอเซียนี้ไปแล้วค่ะปล HBD ,เกี่ยวข้อง
 เรือใบเหรอ นึกว่าเรือดำน้ำ 55555,ไม่เกี่ยวข้อง
 ดูหนัง ฟังเพลง ดำน้ำ ปุกปะการัง ซื้อเรือดำน้ำ,ไม่เกี่ยวข้อง
 คนในประเทศ อดๆอยากๆ รถเมล์ รถไฟ ใช้กันมา 30-40ปี แทนที่จะนำเงินมาพัฒนาตรงนี้ก่อน ดันไปซื้อเรือดำน้ำ เครื่องบิน ประชาชนได้อะไรครับ,เกี่ยวข้อง
 ยุคนี้ คุณจะไปรบกับใคร ข้ออ้างเดิมๆแบบงบซื้อเรือดำน้ำ เด็กๆไทยยังขาดโอกาสทางการศึกษา อาหารกลางวัน รพ.ยังขาดหมอ พยาบาล ยา อุปกรณ์ อย่าไปรบกวนพี่ตูน วิ่งรอบโลกเลย,เกี่ยวข้อง
ทั้งเรือดำน้ำ รถถัง เครื่องบิน เหลือกองทัพไหนอีก สารเลว,เกี่ยวข้อง
 แบ่งกันทหารเรือได้เรือดำน้ำทหารอากาศก็ได้บ้าง,เกี่ยวข้อง
มันเป็นอะไรกัน อาการหนักจริงแต่ละคน ซื้อเครื่องบิน เรือดำน้ำ กันเป็นว่าเล่น เหมือนตอนเด็กๆแม่ไม่ซื้อของเล่นงานวัดให้,เกี่ยวข้อง
บาบาวานกาทำนายว่าปี 65 จะมีสงครามเอเลี่ยนบุกโลก หรือที่อิตู่มันซื้อเครื่องบินรบ รถถัง เรือดำน้ำ เปนเพราะ!!!!!!!!!!!!!!!,ไม่เกี่ยวข้อง
 ใส่ลุงคนนั้น ที่ซื้อเรือดำน้ำ,ไม่เกี่ยวข้อง
 เหมือนเรือดำน้ำ,ไม่เกี่ยวข้อง
รัฐบาลทหารทำงานด้วยสิคะ เห็นไหมเกิดอะไรขึ้น หรือเก่งแต่ซื้อเรือดำน้ำ อาวุธปืนเหรอ #ยะลา,เกี่ยวข้อง
รัฐบาลทหาร ทำงานด้วยครับ อย่าเอาแต่หาเรื่องซื้อแต่เครื่องบินรบ เรือดำน้ำ #ยะลา,เกี่ยวข้อง
เครื่องบินไอพ่นเรือดำน้ำรถถังไม่เห็นเคยไปรบกับใครแค่พม่าข้างบ้านยิงกับกะเหรี่ยง มีทหารไปช่วยคุมดูแลคนไทยแค่หยิบมือที่เหลือไปปลูกผักชี เลี้ยงหมูกันหมดแล้วมั๊ง? ,เกี่ยวข้อง
   จริงครับตอนสอบ นั่งอ่าน Evac เรือดำน้ำ เอาDoctrine รู้จริง ด. จีนทำอีกแบบ แต่เขาปรับสเปคให้เข้ากับเรา,ไม่เกี่ยวข้อง
อ้างแบบนี้ตั้งแต่เรือดำน้ำ… /ตัดภาพไปที่ชายแดนพม่า ,เกี่ยวข้อง
 ซื้อเลยทั้งเครื่องบินและเรือดำน้ำ,ไม่เกี่ยวข้อง
น่ารักกกกกก มาเรย ชั้นจะจิ้มเครื่องบิน รถไฟ เรือดำน้ำ ยานยูเอฟโอ มาให้หมด! #BoomVoteforEarthMix,ไม่เกี่ยวข้อง
เป็นเหี้ยอะไรนักหนากับอาวุธเครื่องบินเรือดำน้ำ ,เกี่ยวข้อง
สำนักข่าวอินเตอร์แฟกซ์ ของรัสเซีย รายงานอ้างแหล่งข่าวกองเรือภาคเหนือว่า รัสเซียทดสอบยิงขีปนาวุธร่อนความเร็วเหนือเสียง ไฮเปอร์โซนิก ที่มีชื่อว่า “เซอร์คอน” รุ่นใหม่ จำนวน 10 ลูก จากเรือฟริเกตและอีก 2 ลูก จากเรือดำน้ำ ,ไม่เกี่ยวข้อง
 สนับสนุนเงินทุนซื้อรถถังและเรือดำน้ำ,ไม่เกี่ยวข้อง
" วัคซีน ของปชช รอรับบริจาค แต่ภาษี พวกมึงเอาไปล้างผลาญเปน เครื่องบินรบ,เรือดำน้ำ,อาวุธกองทัพ. อย่าบริหารแบบนี้เลย ภาษีฉิบหายหมด สุดท้ายหมดคลังพอดี, ชีวิตบันปลายคนเสียภาษี เบี้ยคนชรา 600 ไม่เคยสนใจใยดี แบบนี้ระวัง ปชช ต่อต้านการเสียภาษีนะ #ภาษีเพื่อสวัสดิการปชช",เกี่ยวข้อง
" วัคซีน ของปชช รอรับบริจาค แต่ภาษี พวกมึงเอาไปล้างผลาญเปน เครื่องบินนบ,เรือดำน้ำ,อาวุธกองทัพ. อย่าบริหารแบบนี้เลย ภาษีฉิบหายหมด สุดท้ายหมดคลังพอดี, ชีวิตบันปลายคนเสียภาษี เบี้ยคนชรา 600 ไม่เคยสนใจใยดี แบบนี้ระวัง ปชช ต่อต้านการเสียภาษีนะ",เกี่ยวข้อง
มาลงเรือดำน้ำ สิ่งที่ปลาได้จากกุคืออ้วกแตกค่า ฮืออออออ,ไม่เกี่ยวข้อง
  ไม่น่าครับถ้าวัดความชอบธรรมในเรื่องควรมีหรือไม่มี เพราะเอาเข้าจริง ภัยคุกคามทางอากาศไม่ชัด เท่า แถมมีออพชั่นเยอะ กว่า แต่เรือดำน้ำ มันยังไม่มีเลย แถมไปเอาเรือจีนที่มีคำถามในแง่ประสิทธิภาพอีก ถ้าเป็นกาณี F35 ก็คือจะตัดข้อสงสัยเรื่องประสิทธิภาพออกไปเลย,เกี่ยวข้อง
โดนหักภาษีโคตรเยอะ เบื่อ จริงๆ ยอมจ่ายด้วยความเต็มใจถ้าเอาไปพัฒนาอะไรที่จับต้องได้ ไม่ใช่ซื้อแต่เรือดำน้ำ พวกเหี้ย,เกี่ยวข้อง
 เข้าท่ากว่าเรือดำน้ำ อย่างกับ ฟ้า กับ นรกพยายม เลยค่ะ,ไม่เกี่ยวข้อง
 จะยานนาซ่า จะเรือดำน้ำ ก็ยังเอาลงบ่ได้ ,ไม่เกี่ยวข้อง
 เรือดำน้ำ ,ไม่เกี่ยวข้อง
"ไทย Vs ลาว เม้นส์สนั่น ""จั๊ส ข่าวช่องวัน"" แซะเรือดำน้ำ และ สื่อรัฐไทยดูถ...  via ",ไม่เกี่ยวข้อง
 ยังไม่ออกครับ ผมจะซื้อเรือดำน้ำ,ไม่เกี่ยวข้อง
แต่ตอนนี้ ผมเสียภาษีแล้วไม่ได้อะไรมีเพียงซุ้มประตู กำแพงสวยๆ การปิดถนน ทหารรับใช้และเรือดำน้ำช่างเป็นการกระทำที่เอาเปรียบเพื่อร่วมชาติที่น่าละอายยิ่งนัก30 ธค. 64ภาพจาก ศิลปและวัฒนธรรม ,เกี่ยวข้อง
"ได้ ร เรือ ""เรือดำน้ำ"" แม่ๆท่านไหนจับได้ของชั้นเกียมรับเลยค่ะ",ไม่เกี่ยวข้อง
 นึกถึงจีนที่เอาเรือรบขนเบียร์เถื่อนเป็นคอนเทนเนอร์ของไทยนี่คงได้ขนแป้งกันมันส์ เรือบรบ เครื่องบินเจ็ท เรือดำน้ำ ฯลฯ,เกี่ยวข้อง
ลอว์คิด เฟมเวอร์ ที่หมายถึงเฟมคู่ อัยเด่กชอบแหย่ๆ ท้าเขา ไปๆมาๆโดนเน้ดขาสั่นนอนแผ่บนเตียงในเรือดำน้ำ ไม่เอาไปคืนด้วย เอาไปด้วยเสย ไหนๆก็เป็นพันธมิตรกัน(ไหนบอกชั่วคราว) ไปที่เดียวกันได้ ลูกเรืององ กัปตันหายไปไหน ทำไมอยู่ลูกเรืออีกฝั่งถึงหอยทากมาบอกว่ากัปตันตัวเองเดินทาง(?)ไปด้วย,ไม่เกี่ยวข้อง
ตัดเรื่องออกไป ยอดโดเนทวีบาร์สูงสุดจริงนะ แล้วสิ่งที่เข้าทำให้น้อง เช่น โปรเจคเรือดำน้ำ บนเครื่องบิน Burj Khalifa ตึกที่สูงสุดในโลกเขาก็เนรมิตให้น้องแบบทั้งที่ต้องดีที่สุดจริงๆ,ไม่เกี่ยวข้อง
 ส่งจากเรือดำน้ำ,ไม่เกี่ยวข้อง
ฟิลิปปินส์จัดหนักปัญหาทะเลจีนใต้ สั่งซื้อ “เรือรบต่อต้านมิสไซล์-เรือดำน้ำ” เพิ่ม 2 ลำไว้รับมือจีน ,ไม่เกี่ยวข้อง
ได้รับบั้มที่ฝากคนในตี้ไปเอาให้แล้วนะคะ ถ้าไม่นัดรับเราก็ไม่รู้จะต้องรอบั้มอีกนานแค่ไหน อยากฝากนิดนึงค่ะ เราจ่ายราคาแอร์ไปแต่รอของนานมากเหมือนส่งกับเรือดำน้ำ ฝากปรับปรุงด้วยนะคะ คิดว่าถ้ายังไม่ปรับปรุงอีกก็คงไม่มีใครมาซื้อกับคุณหรอกค่ะ #จัดจ้านรีวิว ,ไม่เกี่ยวข้อง
 เผื่อนุนิวอยากขี่เรือดำน้ำ  Date With ZeeNuNew#รอไปเดตกับซีนุนิว,ไม่เกี่ยวข้อง
ยอดคนติดโควิดสายพันธุ์โอไมครอนเพิ่มขึ้นทุกวัน แต่ไม่มีมาตรการอะไรชัดเจนเลย งดที่แปลว่าจัดได้นี่ก็ได้ด้วย ช่วยชัดเจน จะปิดก็ไม่กล้าปิดเพราะไม่มีเงินมาเยียวยา แต่มีเงินซื้อเรือดำน้ำ มีเงินเอาไปปรับปรุงห้องน้ำสุดหรูบนเครื่องบิน ถามว่าใครได้ประโยชน์คะอิประยวย,เกี่ยวข้อง
"""แต่ได้เล่นของเล่นน้อยมากนะ เล่นของพี่ด้วยส่วนนึง แต่พ่อไม่ซื้อให้ใหม่ เพราะฝนเอาเรือยามาโต้ลำละพันสี่ของพ่อไปลอยน้ำ หักกันดั้มเป็นสิบกว่าตัว เรือดำน้ำ ยานเอนเตอร์ไพรส์ ยานมิลเลนเนียมฟอลคอน"" ไอ้เด็กเวน",ไม่เกี่ยวข้อง
เรืออู เป็นเรือดำน้ำเยอรมัน ที่มีพลังทำลายล้างสูง ถูกใช้อย่างมีประสิทธิภาพสูงสุดในเรือลำนี้มีบทบาทในช่วงสงครามโลก มีเรือจำนวนไม่น้อยที่กลายเป็นเหยื่อของเรือดำน้ำอู ติดตามความน่ากลัวของเรือลำนี้ได้ในสารคดีสำรวจโลก ตอน กองทัพเรือดำน้ำ ,ไม่เกี่ยวข้อง
